Registration Date,Count
01.01.2011,2
01.01.2012,2
01.01.2013,1
01.01.2014,1
01.01.2017,1
01.01.2018,1
01.01.2022,3
01.01.2023,1
01.01.2025,1
01.02.2011,45
01.02.2012,12
01.02.2013,15
01.02.2014,7
01.02.2017,21
01.02.2018,18
01.02.2019,18
01.02.2020,5
01.02.2021,11
01.02.2022,17
01.02.2023,12
01.02.2024,15
01.02.2025,7
01.03.2011,33
01.03.2012,16
01.03.2013,18
01.03.2014,5
01.03.2017,19
01.03.2018,9
01.03.2019,13
01.03.2020,5
01.03.2021,62
01.03.2022,6
01.03.2023,15
01.03.2024,13
01.03.2025,3
01.04.2011,26
01.04.2012,3
01.04.2013,13
01.04.2014,8
01.04.2017,6
01.04.2018,5
01.04.2019,14
01.04.2020,6
01.04.2021,19
01.04.2022,9
01.04.2023,3
01.04.2024,18
01.04.2025,10
01.05.2011,5
01.05.2012,11
01.05.2013,7
01.05.2014,17
01.05.2017,11
01.05.2018,15
01.05.2019,7
01.05.2020,5
01.05.2021,3
01.05.2022,5
01.05.2023,12
01.05.2024,10
01.05.2025,6
01.06.2011,11
01.06.2012,10
01.06.2013,10
01.06.2017,10
01.06.2018,6
01.06.2020,11
01.06.2021,20
01.06.2022,8
01.06.2023,14
01.06.2024,2
01.06.2025,3
01.07.2011,8
01.07.2012,2
01.07.2013,19
01.07.2016,18
01.07.2017,7
01.07.2018,3
01.07.2019,7
01.07.2020,9
01.07.2021,14
01.07.2022,10
01.07.2023,3
01.07.2024,13
01.07.2025,15
01.08.2011,19
01.08.2012,10
01.08.2013,18
01.08.2016,21
01.08.2017,10
01.08.2018,13
01.08.2019,15
01.08.2020,1
01.08.2021,4
01.08.2022,12
01.08.2023,11
01.08.2024,10
01.08.2025,5
01.09.2011,13
01.09.2012,3
01.09.2013,3
01.09.2016,16
01.09.2017,5
01.09.2018,5
01.09.2019,2
01.09.2020,11
01.09.2021,11
01.09.2022,8
01.09.2023,12
01.09.2024,1
01.09.2025,17
01.10.2011,5
01.10.2013,18
01.10.2016,5
01.10.2017,8
01.10.2018,7
01.10.2019,7
01.10.2020,7
01.10.2021,13
01.10.2022,3
01.10.2023,5
01.10.2024,10
01.10.2025,8
01.11.2011,14
01.11.2012,1
01.11.2013,16
01.11.2016,22
01.11.2017,2
01.11.2018,8
01.11.2019,9
01.11.2020,5
01.11.2021,12
01.11.2022,9
01.11.2023,9
01.11.2024,8
01.11.2025,3
01.12.2011,10
01.12.2012,2
01.12.2013,9
01.12.2016,24
01.12.2017,5
01.12.2018,3
01.12.2019,11
01.12.2020,12
01.12.2021,35
01.12.2022,13
01.12.2023,7
02.01.2011,10
02.01.2013,3
02.01.2014,2
02.01.2017,3
02.01.2018,1
02.01.2019,3
02.01.2020,4
02.01.2021,1
02.01.2022,2
02.01.2023,2
02.01.2025,2
02.02.2011,50
02.02.2012,28
02.02.2013,12
02.02.2014,6
02.02.2017,23
02.02.2018,19
02.02.2019,6
02.02.2020,5
02.02.2021,8
02.02.2022,10
02.02.2023,10
02.02.2024,17
02.02.2025,5
02.03.2011,27
02.03.2012,9
02.03.2013,8
02.03.2014,5
02.03.2017,10
02.03.2018,12
02.03.2019,4
02.03.2020,5
02.03.2021,38
02.03.2022,8
02.03.2023,23
02.03.2024,4
02.03.2025,4
02.04.2011,5
02.04.2012,12
02.04.2013,18
02.04.2014,16
02.04.2017,4
02.04.2018,16
02.04.2019,15
02.04.2020,4
02.04.2021,14
02.04.2022,3
02.04.2023,8
02.04.2024,12
02.04.2025,12
02.05.2011,20
02.05.2012,7
02.05.2013,13
02.05.2014,11
02.05.2017,14
02.05.2018,5
02.05.2019,9
02.05.2020,1
02.05.2021,2
02.05.2022,13
02.05.2023,12
02.05.2024,6
02.05.2025,9
02.06.2011,17
02.06.2012,3
02.06.2013,2
02.06.2017,13
02.06.2018,7
02.06.2019,3
02.06.2020,5
02.06.2021,21
02.06.2022,10
02.06.2023,12
02.06.2024,2
02.06.2025,5
02.07.2011,5
02.07.2012,11
02.07.2013,15
02.07.2016,8
02.07.2017,3
02.07.2018,14
02.07.2019,14
02.07.2020,9
02.07.2021,20
02.07.2022,6
02.07.2023,1
02.07.2024,15
02.07.2025,12
02.08.2011,14
02.08.2012,11
02.08.2013,15
02.08.2016,11
02.08.2017,16
02.08.2018,11
02.08.2019,14
02.08.2020,7
02.08.2021,11
02.08.2022,19
02.08.2023,12
02.08.2024,17
02.08.2025,1
02.09.2011,8
02.09.2012,4
02.09.2013,22
02.09.2016,25
02.09.2017,5
02.09.2018,3
02.09.2019,14
02.09.2020,13
02.09.2021,11
02.09.2022,10
02.09.2023,4
02.09.2024,12
02.09.2025,10
02.10.2011,3
02.10.2012,5
02.10.2013,10
02.10.2016,4
02.10.2017,14
02.10.2018,5
02.10.2019,10
02.10.2020,9
02.10.2021,2
02.10.2022,3
02.10.2023,14
02.10.2024,14
02.10.2025,14
02.11.2011,9
02.11.2012,2
02.11.2013,5
02.11.2016,16
02.11.2017,9
02.11.2018,6
02.11.2019,9
02.11.2020,8
02.11.2021,7
02.11.2022,14
02.11.2023,10
02.11.2024,1
02.11.2025,6
02.12.2011,15
02.12.2012,4
02.12.2013,23
02.12.2016,9
02.12.2017,2
02.12.2018,1
02.12.2019,11
02.12.2020,11
02.12.2021,62
02.12.2022,13
02.12.2023,3
02.12.2024,10
03.01.2011,38
03.01.2012,13
03.01.2013,10
03.01.2014,12
03.01.2017,15
03.01.2018,7
03.01.2019,17
03.01.2020,5
03.01.2022,10
03.01.2023,5
03.01.2024,5
03.01.2025,7
03.02.2011,39
03.02.2012,21
03.02.2013,7
03.02.2014,17
03.02.2017,18
03.02.2018,7
03.02.2019,7
